"lineage","country_count"
"B.1.1.319","['(Chile,1)', '(Belgium,1)', '(France,1)', '(Ireland,2)', '(Russia,15)', '(Serbia,1)', '(USA,2)', '(Germany,1)', '(Spain,1)', '(Philippines,4)', '(United Kingdom,2)', '(Austria,7)', '(Peru,4)']"
"B.1.1.320","['(USA,49)']"
"B.1.1.322","['(USA,64)', '(Mexico,18)']"
"B.1.1.323","['(Iceland,14)', '(Netherlands,5)', '(Ireland,1)', '(Belgium,1)', '(Austria,2)', '(Italy,1)', '(Sweden,2)', '(Germany,9)', '(United Kingdom,36)']"
"B.1.1.324","['(Chile,18)']"
"B.1.1.325","['(Lithuania,3)', '(Germany,1)', '(Netherlands,1)', '(Turkey,3)', '(Denmark,22)', '(Belgium,4)', '(Ukraine,2)', '(United Kingdom,2)']"
"B.1.1.326","['(Germany,3)', '(Somalia,1)', '(Ecuador,1)', '(Bahrain,2)', '(Ghana,1)', '(USA,1)', '(India,494)', '(Switzerland,1)', '(Denmark,1)', '(United Kingdom,3)', '(Canada,3)']"
"B.1.1.327","['(Switzerland,7)']"
"B.1.1.328","['(USA,21)', '(Costa Rica,38)', '(Poland,2)']"
"B.1.1.329","['(Mexico,2)', '(Japan,1)', '(USA,140)', '(Canada,35)', '(United Kingdom,2)']"
"B.1.1.33","['(Spain,5)', '(Suriname,1)', '(Brazil,1543)', '(New Zealand,2)', '(Germany,1)', '(Paraguay,8)', '(Uruguay,28)', '(Japan,7)', '(United Kingdom,16)', '(Italy,4)', '(Bolivia,2)', '(Trinidad and Tobago,2)', '(Argentina,50)', '(Australia,13)', '(Chile,76)', '(France,2)', '(Mexico,6)', '(Austria,1)', '(USA,86)', '(Canada,108)', '(Peru,1)', '(Switzerland,4)', '(India,2)', '(Kenya,13)', '(Portugal,10)', '(Guyana,3)', '(Netherlands,2)', '(Denmark,1)', '(Hong Kong,1)', '(Ireland,2)']"
"B.1.1.330","['(Indonesia,1)', '(China,15)']"
"B.1.1.331","['(Austria,84)', '(Switzerland,2)']"
"B.1.1.332","['(Brazil,18)']"
"B.1.1.333","['(USA,1)', '(United Kingdom,1)', '(Norway,671)', '(Denmark,1)']"
"B.1.1.334","['(USA,54)', '(Mexico,1)']"
"B.1.1.335","['(Germany,4)', '(USA,35)', '(Canada,1)']"
"B.1.1.336","['(Italy,1)', '(Japan,1)', '(Kazakhstan,1)', '(Poland,2)', '(Russia,45)', '(Germany,3)', '(Switzerland,1)']"
"B.1.1.337","['(Japan,1)', '(USA,244)']"
"B.1.1.338","['(Germany,53)', '(Switzerland,1)']"
"B.1.1.339","['(Canada,6)', '(United Arab Emirates,76)', '(USA,1)', '(United Kingdom,10)', '(Netherlands,1)', '(Jordan,1)']"
"B.1.134","['(USA,179)']"
"B.1.1.34","['(Canada,2)', '(United Kingdom,2)', '(Zimbabwe,3)', '(Mozambique,1)', '(Ireland,1)', '(Italy,2)', '(Russia,1)', '(Greece,1)', '(South Africa,54)', '(USA,144)', '(Germany,13)', '(Romania,1)', '(Portugal,7)', '(Switzerland,1)', '(Japan,9)', '(Belgium,2)']"
"B.1.1.340","['(India,19)', '(Japan,1)', '(USA,1)']"
"B.1.1.341","['(United Kingdom,14)', '(USA,2)']"
"B.1.1.342","['(USA,14)']"
"B.1.1.343","['(Canada,44)']"
"B.1.1.344","['(Mexico,28)', '(South Korea,1)', '(Australia,1)', '(USA,48)', '(Philippines,1)']"
"B.1.1.345","['(USA,23)']"
"B.1.1.346","['(Denmark,34)']"
"B.1.1.347","['(Austria,23)', '(Denmark,1)', '(United Kingdom,5)', '(Romania,2)', '(Germany,9)']"
"B.1.1.348","['(Germany,2)', '(Aruba,8)', '(Japan,1)', '(Bolivia,5)', '(USA,423)', '(Mexico,4)', '(Peru,62)', '(Chile,207)', '(Spain,27)', '(Colombia,98)', '(United Kingdom,3)', '(Portugal,5)', '(Denmark,6)', '(Argentina,18)', '(Switzerland,4)', '(Curacao,1)', '(Ecuador,34)', '(Canada,6)']"
"B.1.1.349","['(Latvia,2)', '(Switzerland,2)', '(Estonia,2)', '(Finland,7)', '(Hong Kong,3)', '(United Kingdom,5)', '(Mongolia,2)', '(Crimea,1)', '(Russia,29)', '(Netherlands,1)', '(Republic of the Congo,1)', '(Belgium,1)', '(Japan,1)']"
"B.1.1.350","['(Hungary,1)', '(USA,1)', '(Latvia,12)', '(India,1)']"
"B.1.1.351","['(USA,45)', '(Ukraine,8)', '(Belgium,2)', '(Luxembourg,1)', '(United Kingdom,16)', '(France,1)', '(Finland,15)', '(Latvia,1)', '(Japan,8)', '(Poland,6)', '(Netherlands,3)', '(Italy,12)', '(Israel,3)', '(Denmark,24)', '(Spain,1)', '(Germany,17)', '(Estonia,2)', '(Philippines,1)', '(Norway,1)', '(Lithuania,1)', '(Slovakia,1)']"
"B.1.1.352","['(USA,9)', '(United Kingdom,1)']"
"B.1.1.353","['(United Arab Emirates,4)', '(Australia,2)', '(United Kingdom,4)', '(Germany,2)', '(Reunion,18)', '(Israel,1)', '(Italy,2)', '(Denmark,1)', '(Egypt,1)', '(Japan,1)', '(Switzerland,1)', '(India,1)', '(USA,4)']"
"B.1.1.354","['(USA,2)', '(Qatar,4)', '(Japan,6)', '(Canada,8)', '(Norway,1)', '(Hong Kong,2)', '(United Arab Emirates,11)', '(Germany,1)', '(Singapore,30)', '(New Zealand,1)', '(Ireland,7)', '(France,3)', '(Malaysia,19)', '(Belgium,2)', '(Ecuador,1)', '(Philippines,1)', '(India,54)', '(Brunei,2)', '(Denmark,2)', '(Australia,2)', '(Cameroon,1)', '(United Kingdom,11)', '(Mayotte,1)']"
"B.1.1.355","['(United Kingdom,46)', '(Belgium,1)', '(Germany,2)', '(India,2)', '(Denmark,2)', '(Czech Republic,1)', '(Canada,1)', '(USA,2)']"
"B.1.1.356","['(USA,70)', '(Germany,1)']"
"B.1.1.357","['(USA,9)']"
"B.1.1.358","['(USA,22)']"
"B.1.1.359","['(Denmark,6)', '(Togo,1)', '(Ghana,19)', '(Burkina Faso,2)', '(USA,1)']"
"B.1.1.360","['(United Kingdom,33)']"
"B.1.1.361","['(United Kingdom,21)']"
"B.1.1.362","['(Switzerland,1)', '(USA,124)', '(Mexico,6)', '(Japan,2)']"
"B.1.1.363","['(United Kingdom,164)', '(Chile,1)', '(Poland,1)']"
"B.1.1.364","['(Japan,1)', '(Russia,9)', '(United Kingdom,4)', '(USA,2)', '(South Korea,1)']"
"B.1.1.365","['(United Kingdom,178)', '(Philippines,6)']"
"B.1.1.366","['(Bangladesh,1)', '(USA,1)', '(India,1)', '(Oman,1)', '(United Kingdom,1)', '(United Arab Emirates,55)', '(Switzerland,1)']"
"B.1.1.367","['(USA,15)']"
"B.1.1.368","['(Germany,1)', '(Australia,1)', '(South Korea,1)', '(British Virgin Islands,1)', '(Guatemala,2)', '(USA,202)', '(Turkey,1)', '(Canada,8)']"
"B.1.1.369","['(Iceland,14)', '(Ireland,1)', '(Uganda,6)', '(Canada,9)', '(Australia,5)', '(Singapore,2)', '(Belgium,2)', '(United Kingdom,2190)', '(India,2)', '(USA,1)', '(Philippines,1)', '(Russia,1)', '(Germany,2)']"
"B.1.137","['(USA,167)']"
"B.1.1.37","['(Greece,17)', '(Latvia,72)', '(Ireland,2)', '(Denmark,5)', '(United Kingdom,4748)', '(Norway,3)', '(Japan,2)', '(Netherlands,20)', '(USA,3)', '(Germany,12)', '(Gibraltar,3)', '(Turkey,3)', '(India,1)', '(Luxembourg,3)', '(Belgium,5)', '(Oman,1)', '(Iceland,31)', '(Australia,4)', '(South Africa,1)', '(Russia,1)', '(Sweden,2)', '(Kazakhstan,2)', '(Switzerland,38)', '(Poland,2)', '(Croatia,2)', '(Portugal,4)']"
"B.1.1.370","['(Russia,9)', '(USA,23)', '(South Korea,1)', '(Japan,5)', '(Germany,2)', '(Peru,1)', '(United Kingdom,6)', '(Madagascar,1)']"
"B.1.1.371","['(USA,3)', '(Italy,1)', '(Colombia,1)', '(Chile,2)', '(Saudi Arabia,3)', '(United Kingdom,27)', '(Belgium,2)', '(Denmark,8)', '(Romania,3)', '(Australia,2)', '(France,1)', '(Russia,1)', '(Switzerland,4)']"
"B.1.1.372","['(Switzerland,19)', '(South Korea,2)', '(Denmark,1)', '(Zimbabwe,1)', '(Peru,2)', '(Hong Kong,1)', '(Italy,6)', '(Russia,34)', '(Mongolia,1)', '(France,2)', '(USA,27)', '(Curacao,1)', '(Germany,13)', '(Chile,1)', '(Canada,6)', '(Iceland,11)', '(Estonia,1)', '(Norway,1)', '(Turkey,3)', '(United Kingdom,1190)', '(Slovenia,1)', '(Mozambique,1)', '(India,1)', '(Namibia,1)', '(Egypt,1)', '(New Zealand,1)', '(Austria,2)', '(Belgium,2)', '(South Africa,6)', '(Australia,1)', '(Japan,5)', '(Ecuador,4)', '(Brazil,2)', '(Angola,2)']"
"B.1.1.373","['(Hong Kong,2)', '(Austria,1)', '(Thailand,1)', '(United Kingdom,2)', '(Crimea,1)', '(Russia,29)']"
"B.1.1.374","['(India,1)', '(Belgium,1)', '(Netherlands,2)', '(Austria,2)', '(Belarus,3)', '(Poland,21)', '(Russia,2)', '(Spain,4)', '(Sweden,1)', '(Mexico,1)', '(Norway,2)', '(Iraq,1)', '(Germany,52)', '(New Zealand,1)', '(United Kingdom,2)', '(Latvia,122)', '(Finland,15)', '(Denmark,6)', '(Lithuania,99)', '(USA,5)', '(Luxembourg,5)', '(Switzerland,1)']"
"B.1.1.375","['(Chile,2)', '(Switzerland,1)', '(Malawi,2)', '(United Kingdom,5)', '(Mozambique,47)', '(Germany,1)', '(Netherlands,2)', '(USA,2)']"
"B.1.1.376","['(USA,154)', '(Brazil,1)']"
"B.1.1.377","['(Denmark,688)', '(Japan,1)']"
"B.1.1.378","['(Denmark,1)', '(Switzerland,1)', '(Brazil,40)', '(Finland,2)', '(India,1)', '(Russia,3)', '(France,1)', '(USA,17)', '(Colombia,1)', '(Turkey,1)', '(Poland,1)', '(Iceland,1)', '(Greece,3)', '(Spain,8)', '(United Kingdom,40)']"
"B.1.1.379","['(United Kingdom,31)']"
"B.1.1.38","['(United Kingdom,17)']"
"B.1.1.380","['(United Kingdom,2)', '(USA,96)']"
"B.1.1.381","['(Chile,6)', '(USA,2)', '(Peru,13)']"
"B.1.1.382","['(South Africa,20)']"
"B.1.1.383","['(Australia,1)', '(South Africa,15)']"
"B.1.1.384","['(Germany,13)', '(Switzerland,29)']"
"B.1.1.385","['(Germany,182)', '(USA,1)', '(Switzerland,6)', '(France,21)', '(Croatia,4)', '(Luxembourg,1)', '(South Korea,1)', '(Denmark,2)']"
"B.1.1.386","['(South Africa,13)']"
"B.1.1.387","['(USA,1)', '(Russia,16)']"
"B.1.1.388","['(Spain,1)', '(Colombia,10)', '(Ecuador,1)']"
"B.1.1.389","['(USA,8)', '(Costa Rica,129)', '(Lithuania,1)', '(Australia,1)', '(Spain,7)']"
"B.1.139","['(USA,1264)', '(Canada,5)']"
"B.1.1.39","['(Sweden,15)', '(Italy,22)', '(United Kingdom,79)', '(Slovenia,4)', '(Austria,23)', '(Finland,14)', '(Spain,14)', '(Bulgaria,1)', '(North Macedonia,10)', '(Ukraine,2)', '(Norway,27)', '(Denmark,30)', '(France,35)', '(Germany,271)', '(Hong Kong,2)', '(Belgium,14)', '(Canada,5)', '(Luxembourg,5)', '(Czech Republic,1)', '(Croatia,1)', '(Russia,1)', '(Iceland,3)', '(Bosnia and Herzegovina,1)', '(Kosovo,3)', '(Switzerland,1164)', '(USA,15)', '(Australia,1)', '(Netherlands,4)', '(Greece,1)']"
"B.1.1.391","['(United Kingdom,1)', '(USA,3)', '(United Arab Emirates,110)']"
"B.1.1.392","['(USA,18)']"
"B.1.1.393","['(Brazil,6)', '(USA,1)', '(Singapore,2)']"
"B.1.1.394","['(Portugal,40)']"
"B.1.1.395","['(United Kingdom,18)']"
"B.1.1.396","['(Japan,1)', '(Sweden,1)', '(Turkey,1)', '(Israel,2)', '(Thailand,2)', '(Russia,9)', '(United Kingdom,1)']"
"B.1.1.397","['(Turkey,4)', '(Poland,2)', '(Switzerland,3)', '(USA,3)', '(Sweden,2)', '(United Kingdom,4)', '(Israel,31)', '(Finland,9)', '(South Korea,1)', '(Luxembourg,1)', '(Germany,11)', '(Japan,7)', '(Netherlands,2)', '(Russia,202)', '(France,4)', '(Mongolia,1)', '(Singapore,5)', '(Canada,4)', '(New Zealand,4)', '(Australia,1)', '(Latvia,40)', '(Czech Republic,2)', '(Denmark,10)', '(Estonia,51)', '(Spain,9)']"
"B.1.1.398","['(Latvia,4)', '(South Korea,1)', '(Kazakhstan,2)', '(Belgium,1)', '(Philippines,8)', '(Taiwan,1)', '(Italy,1)', '(Hong Kong,2)', '(USA,38)', '(Germany,5)', '(Indonesia,173)', '(United Kingdom,3)', '(Japan,7)', '(Russia,5)', '(Serbia,1)', '(Turkey,1)', '(Canada,1)', '(Singapore,7)', '(Peru,1)', '(United Arab Emirates,1)']"
"B.1.1.399","['(Nigeria,1)', '(Canada,1)', '(Ireland,9)']"
"B.1.14","['(Ecuador,2)', '(USA,54)']"
"B.1.1.4","['(United Kingdom,331)']"
"B.1.140","['(Mozambique,1)', '(USA,26)', '(South Africa,47)']"
"B.1.1.40","['(South Africa,26)']"
"B.1.1.400","['(Spain,18)', '(USA,9)']"
"B.1.1.401","['(Japan,1)', '(Portugal,15)']"
"B.1.1.402","['(USA,54)']"
"B.1.1.403","['(Canada,3)', '(Ghana,1)', '(Mexico,1)', '(USA,23)']"
"B.1.1.404","['(Germany,9)', '(Burkina Faso,29)', '(Switzerland,1)', '(Luxembourg,1)', '(Canada,1)', '(Cote d\'Ivoire,1)', '(Ghana,4)', '(Austria,1)', '(Togo,3)']"
"B.1.1.405","['(Russia,1)', '(United Kingdom,1)', '(Germany,11)', '(Chile,1)', '(Turkey,1)', '(USA,2)']"
"B.1.1.406","['(United Kingdom,85)', '(Italy,1)', '(Madagascar,1)', '(France,2)', '(India,1)', '(Ireland,5)', '(Germany,13)', '(Switzerland,4)', '(Spain,28)', '(USA,8)']"
"B.1.1.407","['(Indonesia,1)', '(USA,1)', '(Finland,1)', '(Germany,1)', '(Russia,18)', '(Greece,1)']"
"B.1.1.408","['(United Kingdom,25)']"
"B.1.1.409","['(USA,4)', '(United Arab Emirates,25)', '(Russia,1)', '(Switzerland,1)', '(Israel,1)', '(Saudi Arabia,6)', '(Argentina,1)', '(Croatia,1)', '(United Kingdom,1)', '(Azerbaijan,1)', '(Netherlands,1)', '(India,1)', '(Turkey,1)', '(Iceland,2)']"
"B.1.1.41","['(Russia,4)', '(United Kingdom,154)', '(USA,1)']"
"B.1.1.410","['(Portugal,19)', '(United Kingdom,2)', '(Luxembourg,1)', '(Norway,1)']"
"B.1.1.411","['(Denmark,1)', '(USA,33)', '(India,1)', '(Spain,1)', '(Ecuador,21)', '(United Kingdom,1)']"
"B.1.1.412","['(South Africa,128)', '(New Zealand,1)']"
"B.1.1.413","['(Australia,3)', '(Iran,5)', '(Spain,1)', '(Sweden,1)', '(USA,5)', '(Denmark,2)', '(Germany,13)', '(Canada,3)', '(Japan,1)', '(Azerbaijan,1)', '(United Kingdom,31)', '(Turkey,6)']"
"B.1.1.414","['(India,7)']"
"B.1.1.415","['(Austria,20)', '(Japan,1)', '(Denmark,1)']"
"B.1.1.416","['(Canada,2)', '(Japan,2)', '(Chile,7)', '(New Zealand,2)', '(India,1)', '(Mexico,1)', '(Belgium,1)', '(Israel,1)', '(Poland,1)', '(Philippines,1)', '(USA,672)', '(Australia,30)']"
"B.1.1.417","['(United Kingdom,1)', '(Canada,341)', '(Colombia,1)', '(USA,2)', '(Australia,1)', '(Turkey,1)', '(Senegal,1)']"
"B.1.1.418","['(USA,33)']"
"B.1.1.419","['(Georgia,1)', '(Portugal,3)', '(Armenia,3)', '(Spain,1)', '(Bahrain,3)', '(Philippines,3)', '(Latvia,1)', '(Germany,1)', '(Australia,2)', '(Indonesia,1)', '(Slovenia,1)', '(Saudi Arabia,1)', '(Netherlands,1)', '(United Kingdom,88)', '(Turkey,1)', '(Morocco,1)', '(India,5)', '(USA,48)']"
"B.1.142","['(United Kingdom,338)', '(Switzerland,1)', '(USA,2)', '(Canada,1)', '(Sweden,1)']"
"B.1.1.420","['(Australia,2)', '(Denmark,28)', '(Spain,102)', '(Italy,181)', '(Portugal,6)', '(United Kingdom,28)', '(USA,66)', '(Norway,1)', '(Belgium,7)', '(France,71)', '(Guinea Bissau,3)', '(Sweden,7)', '(Luxembourg,131)', '(Japan,3)', '(Gambia,5)', '(Germany,40)', '(Canada,4)', '(Rwanda,1)', '(Switzerland,25)', '(Ghana,1)', '(Senegal,63)']"
"B.1.1.421","['(USA,2)', '(Portugal,25)', '(Switzerland,1)', '(United Kingdom,5)']"
"B.1.1.422","['(Mexico,1)', '(Belarus,1)', '(Poland,1)', '(Lithuania,10)']"
"B.1.1.423","['(USA,16)']"
"B.1.1.424","['(Russia,22)', '(Norway,1)']"
"B.1.1.425","['(Germany,1)', '(Denmark,12)', '(India,1)', '(United Kingdom,6)']"
"B.1.1.426","['(USA,24)']"
"B.1.1.427","['(Russia,8)']"
"B.1.1.428","['(Denmark,11)', '(Switzerland,36)', '(South Korea,1)', '(Croatia,2)', '(North Macedonia,8)', '(Germany,31)', '(Sweden,11)', '(Austria,4)']"
"B.1.1.429","['(Ireland,1)', '(Denmark,2)', '(Belgium,1)', '(Finland,2)', '(Estonia,1)', '(Latvia,157)']"
"B.1.143","['(Canada,1)', '(South Africa,1)', '(Luxembourg,1)', '(India,30)', '(Bulgaria,2)', '(Estonia,1)', '(United Kingdom,2)', '(USA,2)']"
"B.1.1.43","['(United Kingdom,66)']"
"B.1.1.430","['(Germany,1)', '(Norway,5)', '(Switzerland,1)', '(North Macedonia,13)']"
"B.1.1.431","['(Canada,38)', '(Germany,2)', '(Denmark,1)', '(Australia,8)', '(United Arab Emirates,1)', '(India,7)', '(USA,2)', '(New Zealand,1)']"
"B.1.1.432","['(Germany,7)', '(Norway,2)', '(Canada,4)', '(Guatemala,1)', '(South Korea,1)', '(USA,464)', '(Mexico,73)', '(Japan,2)']"
"B.1.1.433","['(Ireland,1)', '(Switzerland,17)', '(Germany,12)', '(North Macedonia,1)', '(United Kingdom,12)', '(Croatia,24)', '(Denmark,579)', '(India,1)', '(Sweden,1)', '(Slovenia,13)', '(Austria,8)', '(Japan,2)']"
"B.1.1.434","['(Gibraltar,1)', '(Grenada,1)', '(Denmark,1)', '(Norway,1)', '(Mexico,1)', '(Peru,1)', '(Canada,15)', '(Switzerland,1)', '(Portugal,1)', '(Netherlands,1)', '(United Kingdom,144)', '(Australia,1)', '(Belgium,1)', '(Ireland,1)', '(Israel,9)', '(USA,2049)']"
"B.1.1.435","['(Luxembourg,1)', '(Russia,25)']"
"B.1.1.436","['(Belgium,39)']"
"B.1.1.437","['(USA,48)']"
"B.1.1.438","['(USA,1)', '(Sweden,17)', '(Bosnia and Herzegovina,1)', '(United Kingdom,1)']"
"B.1.1.44","['(Poland,7)', '(Sweden,24)', '(United Kingdom,308)', '(Iceland,5)', '(Netherlands,1)', '(Denmark,14)', '(India,24)', '(Czech Republic,2)', '(Norway,2)', '(Spain,1)', '(Switzerland,2)', '(Germany,19)', '(Philippines,1)']"
"B.1.1.440","['(USA,57)', '(Northern Mariana Islands,1)']"
"B.1.1.441","['(USA,20)']"
"B.1.1.442","['(Argentina,40)', '(Germany,4)', '(Turkey,3)', '(Austria,1)']"
"B.1.1.444","['(Finland,1)', '(South Africa,5)']"
"B.1.1.445","['(Switzerland,24)']"
"B.1.1.446","['(Sweden,6)', '(Greece,1)', '(Russia,1)', '(Turkey,1)', '(Brazil,1)']"
"B.1.1.447","['(United Kingdom,1)', '(Poland,4)', '(USA,17)']"
"B.1.1.448","['(Lesotho,1)', '(Botswana,1)', '(Taiwan,1)', '(Eswatini,1)', '(Malawi,1)', '(USA,1)', '(Zambia,6)', '(South Africa,387)', '(Mozambique,6)', '(Pakistan,2)', '(Greece,3)', '(India,1)']"
"B.1.1.449","['(Germany,1)', '(Russia,8)', '(France,10)']"
"B.1.145","['(India,16)']"
"B.1.1.45","['(United Kingdom,59)']"
"B.1.1.450","['(USA,28)']"
"B.1.1.451","['(Norway,24)']"
"B.1.1.452","['(India,1)', '(Russia,7)', '(USA,1)']"
"B.1.1.453","['(Russia,1)', '(Germany,1)', '(United Kingdom,1)', '(Canada,1)', '(Mexico,1)', '(USA,105)']"
"B.1.1.456","['(South Africa,18)']"
"B.1.1.458","['(Norway,1)', '(Denmark,1)', '(Turkey,2)', '(Sweden,8)', '(Germany,7)', '(Switzerland,2)', '(USA,1)']"
"B.1.1.459","['(France,1)', '(South Africa,34)', '(Zimbabwe,6)']"
"B.1.146","['(Netherlands,1)', '(Switzerland,86)', '(United Arab Emirates,1)', '(Denmark,2)', '(Serbia,1)', '(Germany,25)', '(Luxembourg,5)', '(Norway,2)', '(Bosnia and Herzegovina,1)', '(Australia,1)', '(Slovenia,21)', '(Austria,12)', '(Bahrain,1)', '(United Kingdom,1)', '(North Macedonia,1)', '(Sweden,2)']"
"B.1.1.46","['(Poland,1)', '(South Korea,1)', '(Thailand,1)', '(Singapore,2)', '(USA,2)', '(United Kingdom,19)', '(Japan,2)', '(Mongolia,14)', '(Australia,2)', '(United Arab Emirates,1)', '(Germany,1)', '(India,146)']"
"B.1.1.461","['(Canada,1)', '(USA,59)', '(Hong Kong,1)', '(Italy,1)']"
"B.1.1.462","['(USA,30)', '(Netherlands,1)', '(Latvia,2)', '(United Arab Emirates,90)', '(United Kingdom,2)', '(Brazil,1)', '(Lithuania,2)', '(Ghana,1)', '(Philippines,4)', '(Japan,1)', '(Greece,5)', '(Sweden,1)', '(Russia,1)', '(Portugal,1)']"
"B.1.1.463","['(USA,16)']"
"B.1.1.464","['(Israel,3)', '(Australia,1)', '(Portugal,1)', '(Denmark,2)', '(Poland,3)', '(USA,526)', '(Japan,1)', '(Lithuania,4)', '(United Kingdom,1)', '(Russia,2)', '(Switzerland,7)']"
"B.1.1.464.1","['(USA,1)', '(Canada,186)']"
"B.1.1.465","['(Israel,1)', '(Japan,5)', '(France,1)']"
"B.1.1.466","['(Gambia,56)']"
"B.1.1.467","['(USA,35)']"
"B.1.147","['(France,33)', '(Luxembourg,2)', '(Germany,3)', '(Democratic Republic of the Congo,1)', '(USA,14)', '(Qatar,1)', '(Belize,41)', '(Switzerland,16)', '(Canada,1025)', '(Belgium,27)', '(Cameroon,2)', '(United Kingdom,34)']"
"B.1.1.47","['(Italy,4)', '(Finland,19)', '(Hong Kong,12)', '(Denmark,11)', '(Luxembourg,1)', '(Iceland,1)', '(Switzerland,72)', '(Austria,2)', '(Poland,4)', '(Sweden,1)', '(Germany,13)', '(USA,1)', '(Serbia,1)', '(United Kingdom,9)', '(Norway,6)', '(Slovenia,6)', '(South Korea,1)']"
"B.1.1.48","['(Japan,344)', '(USA,1)', '(United Kingdom,3)']"
"B.1.1.480","['(USA,31)']"
"B.1.1.481","['(Russia,14)']"
"B.1.1.482","['(Japan,14)', '(USA,20)', '(United Kingdom,3)']"
"B.1.1.483","['(Belgium,25)']"
"B.1.1.484","['(Senegal,2)', '(Nigeria,7)', '(Japan,1)']"
"B.1.1.485","['(Canada,6)', '(France,1)', '(Denmark,1)', '(Germany,1)', '(USA,31)', '(Russia,2)', '(Peru,10)', '(South Africa,1)', '(Ghana,24)', '(United Kingdom,1)', '(Switzerland,1)']"
"B.1.1.486","['(Japan,2)', '(Canada,1)', '(Singapore,2)', '(Russia,4)', '(USA,517)']"
"B.1.1.487","['(Canada,41)', '(Ghana,1)', '(Norway,1)', '(United Kingdom,44)', '(Philippines,1)', '(Nigeria,42)', '(Spain,12)', '(India,15)', '(Togo,1)', '(Lebanon,1)', '(USA,10)', '(France,5)']"
"B.1.149","['(Austria,4)', '(United Kingdom,18)', '(Netherlands,14)', '(Switzerland,9)', '(France,1)', '(Democratic Republic of the Congo,29)', '(Japan,1)', '(Slovenia,63)', '(Belgium,1)']"
"B.1.1.49","['(USA,1)', '(United Kingdom,57)', '(Portugal,1)', '(Netherlands,1)']"
"B.1.1.5","['(Norway,1)', '(Panama,1)', '(Australia,1)', '(Singapore,1)', '(Italy,1)', '(Nepal,1)', '(United Kingdom,26)', '(USA,3)', '(Ireland,3)', '(Hungary,2)', '(Netherlands,3)', '(Iceland,14)', '(Austria,5)', '(Belgium,51)', '(India,3)', '(Germany,5)']"
"B.1.1.50","['(New Zealand,2)', '(USA,9)', '(Switzerland,4)', '(Palestine,79)', '(India,1)', '(Sweden,2)', '(Belgium,3)', '(Israel,1360)', '(Denmark,10)', '(Iceland,4)', '(Germany,1)', '(United Kingdom,54)', '(Croatia,1)']"
"B.1.1.500","['(Gibraltar,2)', '(United Kingdom,5)', '(Austria,1)', '(United Arab Emirates,30)', '(Russia,1)', '(Peru,2)', '(India,1)', '(Israel,2)', '(France,1)', '(Belgium,1)', '(Greece,1)']"
"B.1.1.506","['(Russia,22)', '(Peru,4)', '(Chile,10)', '(Burkina Faso,2)', '(USA,3)', '(Norway,1)', '(Germany,1)', '(New Zealand,1)']"
"B.1.1.507","['(South Africa,32)', '(USA,1)']"
"B.1.151","['(Germany,1)', '(United Kingdom,74)', '(Ireland,8)', '(France,3)', '(Finland,1)', '(Canada,1)', '(USA,2)', '(India,1)', '(Belgium,1)']"
"B.1.1.51","['(Ecuador,1)', '(Iran,1)', '(Russia,3)', '(Greece,20)', '(Estonia,2)', '(Japan,2)', '(United Kingdom,563)']"
"B.1.1.512","['(Mexico,6)', '(USA,21)', '(Argentina,1)']"
"B.1.1.513","['(USA,81)']"
"B.1.1.514","['(USA,19)']"
"B.1.1.515","['(Japan,2)', '(Finland,1)', '(Germany,46)', '(Taiwan,1)', '(USA,5)']"
"B.1.1.516","['(Costa Rica,15)']"
"B.1.1.517","['(Japan,1)', '(Mexico,12)', '(USA,96)']"
"B.1.1.518","['(USA,99)', '(Mexico,6)', '(Canada,1)', '(Turkey,1)']"
"B.1.1.519","['(Belgium,3)', '(Lithuania,3)', '(Qatar,11)', '(South Korea,2)', '(Finland,1)', '(Australia,5)', '(Aruba,28)', '(Israel,6)', '(Luxembourg,3)', '(France,36)', '(Romania,1)', '(Kosovo,1)', '(Italy,12)', '(Brazil,3)', '(Colombia,1)', '(Ecuador,1)', '(Canada,399)', '(United Kingdom,23)', '(Spain,60)', '(Netherlands,48)', '(USA,11728)', '(Japan,2)', '(Belize,2)', '(Germany,195)', '(Argentina,41)', '(Poland,1)', '(Denmark,177)', '(Austria,1)', '(Mexico,5707)', '(Martinique,12)', '(Costa Rica,5)', '(Ireland,1)', '(New Zealand,2)', '(Switzerland,143)', '(Sweden,3)', '(Chile,7)', '(Curacao,7)']"
"B.1.1.52","['(USA,12)', '(South Africa,37)']"
"B.1.1.521","['(Cyprus,1)', '(Netherlands,8)', '(Germany,89)', '(Russia,1)', '(Turkey,34)', '(Belgium,2)', '(Switzerland,27)', '(Denmark,17)', '(Thailand,1)', '(Austria,5)', '(Japan,1)', '(United Kingdom,17)']"
"B.1.1.522","['(Japan,1)', '(Canada,1)', '(France,1)', '(Netherlands,2)', '(Belgium,53)']"
"B.1.1.523","['(Israel,2)', '(France,2)', '(Germany,45)', '(Australia,1)', '(USA,7)', '(Sweden,2)', '(Switzerland,6)', '(Finland,4)', '(Russia,99)', '(Belgium,9)', '(Luxembourg,1)', '(Latvia,1)', '(Turkey,3)', '(United Kingdom,8)', '(Egypt,1)', '(Poland,1)', '(South Korea,1)', '(Greece,4)', '(Lithuania,2)']"
